bike_name,price,city,kms_driven,owner,age,power,brand,,,,
Bajaj Avenger 220cc,290000,Dharwad,11350,First Owner,7,650,Kawasaki,,,Hero Passion Pro 100cc,1432
Bajaj Avenger 220cc,110000,Delhi,1600,First Owner,6,350,Royal Enfield,,,Hero Passion Pro i3S Alloy 100cc,24
Bajaj Avenger 220cc,27000,Vadodara,44410,First Owner,10,125,Bajaj,,,Hero Passion Xpro 110cc,51
Bajaj Avenger 220cc,65000,Jalandhar,9800,First Owner,11,350,Royal Enfield,,,Hero Splendor 100cc,32
Bajaj Avenger 220cc,150000,Bangalore,15000,First Owner,3,350,Royal Enfield,,,Hero Splendor iSmart 100cc,24
Bajaj Avenger 220cc,55786,Surat,68000,Second Owner,7,223,Hero,,,Hero Splendor iSmart 110cc,43
Bajaj Avenger 220cc,45000,Bangalore,17757,First Owner,8,180,Bajaj,,,Hero Splendor plus 100cc,198
Bajaj Avenger 220cc,146000,Chennai,3900,First Owner,2,250,Yamaha,,,Hero Splendor Pro 100cc,62
Bajaj Avenger 220cc,115000,Bangalore,23700,First Owner,4,350,Royal Enfield,,,Hero Super Splendor 125cc,649
Bajaj Avenger 220cc,30000,Noida,8250,First Owner,3,100,Bajaj,,,Honda CB Hornet 160R CBS,33
Bajaj Avenger 220cc,93100,Mumbai,10000,First Owner,5,200,Bajaj,,,Honda CB Hornet 160R STD,641
Bajaj Avenger 220cc,82000,Mumbai,4300,Second Owner,3,150,Yamaha,,,Honda CB Shine 125cc,171
Bajaj Avenger 220cc,260000,Navi Mumbai,3800,First Owner,2,650,Royal Enfield,,,Honda CB Trigger 150cc,681
Bajaj Avenger 220cc,38000,Bangalore,33000,First Owner,7,125,Honda,,,Honda CB Twister 110cc,40
Bajaj Avenger 220cc,130000,Gandhidham,17500,Second Owner,4,250,KTM,,,Honda CB Unicorn 150cc,71
Bajaj Avenger 220cc,118000,Gurgaon,19000,First Owner,4,410,Royal Enfield,,,Honda CBF Stunner 125cc,76
Bajaj Avenger 220cc,14700,Delhi,10000,First Owner,11,135,Bajaj,,,Honda CBR 150R 150cc,71
